                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
75,0.80352,0.68047,0.96113,0.59245,0.70453,0.69108,0.5374,0.9185,1.0056,1.0212,0.00065325,0.00065325,0.00065325
76,0.82315,0.69401,0.97218,0.56025,0.66253,0.58465,0.42178,1.0122,1.0212,1.0695,0.0006485,0.0006485,0.0006485
77,0.82984,0.68849,0.95979,0.57405,0.84473,0.71331,0.50952,1.0047,1.0857,1.054,0.00064375,0.00064375,0.00064375
78,0.83104,0.67298,0.97203,0.55551,0.69855,0.63917,0.44752,1.0331,1.0913,1.0765,0.000639,0.000639,0.000639
79,0.8111,0.64506,0.95249,0.59379,0.8411,0.72671,0.51586,0.95391,0.86861,1.0418,0.00063425,0.00063425,0.00063425
80,0.81029,0.6221,0.9538,0.58368,0.7273,0.64494,0.46557,0.96453,1.0291,1.0523,0.0006295,0.0006295,0.0006295
81,0.7991,0.61693,0.95129,0.55015,0.77344,0.67107,0.47847,1.0214,1.268,1.0814,0.00062475,0.00062475,0.00062475
82,0.81375,0.62796,0.95874,0.47505,0.81301,0.51512,0.34002,1.0312,1.5463,1.074,0.00062,0.00062,0.00062
83,0.79347,0.64359,0.9464,0.53077,0.88407,0.65457,0.48674,0.95317,1.2044,1.048,0.00061525,0.00061525,0.00061525
84,0.80133,0.64817,0.95418,0.50513,0.5572,0.51623,0.37555,0.93386,1.2616,1.0383,0.0006105,0.0006105,0.0006105
85,0.78975,0.6457,0.94802,0.51788,0.79782,0.60428,0.43821,0.9494,1.0653,1.0521,0.00060575,0.00060575,0.00060575
86,0.79296,0.60211,0.94949,0.56745,0.77992,0.6419,0.44219,0.99526,1.0459,1.0618,0.000601,0.000601,0.000601
87,0.78825,0.62166,0.93915,0.52228,0.77815,0.6242,0.42105,1.0174,0.97786,1.0542,0.00059625,0.00059625,0.00059625
88,0.78144,0.59288,0.93923,0.6766,0.67446,0.74372,0.53018,1.0901,0.90773,1.126,0.0005915,0.0005915,0.0005915
89,0.7786,0.58498,0.94201,0.49326,0.81749,0.6108,0.4315,0.97571,1.091,1.0666,0.00058675,0.00058675,0.00058675
90,0.77527,0.58565,0.93948,0.59067,0.82334,0.7055,0.50902,0.97431,0.91695,1.0424,0.000582,0.000582,0.000582
91,0.78737,0.58481,0.93839,0.53897,0.8492,0.68137,0.49478,1.0167,1.0939,1.0671,0.00057725,0.00057725,0.00057725
92,0.78411,0.59524,0.9389,0.5101,0.73698,0.61479,0.42852,0.96084,1.1048,1.0255,0.0005725,0.0005725,0.0005725
93,0.75519,0.57473,0.94636,0.63529,0.66704,0.64586,0.44449,0.97777,0.98879,1.0446,0.00056775,0.00056775,0.00056775
94,0.75257,0.57087,0.93402,0.56114,0.86793,0.71224,0.52301,0.96393,0.90662,1.0409,0.000563,0.000563,0.000563
95,0.778,0.601,0.94765,0.55409,0.75908,0.66281,0.46736,1.0264,1.445,1.1037,0.00055825,0.00055825,0.00055825
96,0.77308,0.57606,0.95191,0.60287,0.67641,0.69304,0.48968,0.98232,1.2295,1.0498,0.0005535,0.0005535,0.0005535
97,0.7682,0.56719,0.93975,0.64448,0.75831,0.75331,0.53506,0.96053,0.88809,1.0376,0.00054875,0.00054875,0.00054875
98,0.7603,0.57085,0.93638,0.67494,0.81499,0.78044,0.54513,0.95719,0.82676,1.0437,0.000544,0.000544,0.000544
99,0.76597,0.59326,0.946,0.53147,0.84513,0.64401,0.46029,0.98714,1.3076,1.0623,0.00053925,0.00053925,0.00053925
100,0.76514,0.57707,0.93012,0.62745,0.75726,0.68651,0.4781,0.99997,1.0433,1.062,0.0005345,0.0005345,0.0005345
101,0.78731,0.55573,0.95261,0.51847,0.86514,0.64639,0.45971,1.0066,1.2672,1.0653,0.00052975,0.00052975,0.00052975
102,0.74388,0.54788,0.93433,0.57811,0.87038,0.69059,0.46855,1.0487,1.084,1.0858,0.000525,0.000525,0.000525
103,0.74862,0.55897,0.93689,0.59229,0.63685,0.63163,0.45695,1.0199,1.1084,1.0859,0.00052025,0.00052025,0.00052025
104,0.77105,0.60602,0.93293,0.57414,0.82225,0.7008,0.50519,0.99352,1.0332,1.0682,0.0005155,0.0005155,0.0005155
105,0.73722,0.5622,0.92908,0.54274,0.74607,0.5976,0.41483,0.9757,1.1664,1.0496,0.00051075,0.00051075,0.00051075
106,0.7521,0.55536,0.94069,0.62335,0.7273,0.68373,0.47685,0.95927,0.94983,1.0314,0.000506,0.000506,0.000506
